,Unnamed: 0,OBJECTID,Agency,State,Unit ID,Unit Name,Fire_Code,Incident Indentifier,Fire Name,Protection_Type,Cause,Owner,Acres,WUI,Size Class,Size_Class_Rank,Date,Month,Day,Year,MONTHST,DAYST,YEARST,Elevation,LatNAD83,LongNAD83,created_user,created_date,last_edited_user,last_edited_date,District,GlobalID,County,Dispatch Unit ID,x,y,PresBurn,FireName,Date_cData
60,60,63,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,5,2,,B,2,6/21/1992 0:00,6,21,1992,6,21,1992,6877,38.58666667,-119.665,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,1d854bb4-e019-42bf-af5e-f8a6c915f3b1,Alpine,USNVSFC,267877.6166,4274278.47,NO,,
67,67,71,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,,,,,Human,13,12,,C,3,7/3/1992 0:00,7,3,1992,7,3,1992,5564,39.44166667,-120.0333333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Northern California District,e180bc6b-ce1e-46cc-b485-9745e4556d2c,Nevada,USNVSFC,238955.3599,4370182.85,NO,,
76,76,80,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,,,,,Human,5,10,,C,3,7/20/1992 0:00,7,20,1992,7,20,1992,5351,39.44,-119.8333333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,3d5249e4-3302-4301-8b06-86dd2ea0931b,Washoe,USNVSFC,256164.1033,4369437.449,NO,,
90,90,94,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,5,1.5,,B,2,8/13/1992 0:00,8,13,1992,8,13,1992,8320,38.61833333,-119.835,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,c948df94-292d-4b88-9642-d68e64867249,Alpine,USNVSFC,253176.5308,4278236.951,NO,,
97,97,101,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,5,2,,B,2,8/14/1992 0:00,8,14,1992,8,14,1992,6512,39.11,-119.8716667,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,fc9dc377-14c6-47cb-a3db-12c58547aacf,Douglas,USNVSFC,251701.386,4332910.483,NO,,
100,100,104,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,5,5,,B,2,8/29/1992 0:00,8,29,1992,8,29,1992,8005,38.78333333,-119.8666667,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,67af7708-9c31-489c-977d-773092419230,Alpine,USNVSFC,250992.4399,4296636.987,NO,,
123,123,127,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,13,71.1,,C,3,8/30/1992 0:00,8,30,1992,8,30,1992,5272,39.12166667,-119.7833333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,7bc7c5ed-9b34-4dd5-91ea-9221d67cde63,Carson City,USNVSFC,259380.1044,4333967.489,NO,,
9503,9503,9771,BLM,NV,NVCCD,Carson City District,A7VK,,WATERFALL,,Human,2,8758.710012,,G,4,7/14/2004 0:00,7,14,2004,7,14,2004,5456,39.1505,-119.816,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,b49721f1-dc87-4cbf-8777-3cbaeed3aa5c,Carson City,USNVSFC,256654.961,4337255.176,NO,,
168,168,172,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,5,3,,B,2,9/6/1992 0:00,9,6,1992,9,6,1992,7766,38.31666667,-119.3383333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,37df0189-192c-4eb1-82ff-76d589447b6e,Mono,USNVSFC,295573.2734,4243537.958,NO,,
314,314,397,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,,,,,Human,13,25,,C,3,7/13/1993 0:00,7,13,1993,7,13,1993,4925,39.49166667,-119.9933333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,ca66b9ed-4357-4551-b391-685dba0d8795,Washoe,USNVSFC,242582.8063,4375618.175,NO,,
319,319,402,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,5,5,,B,2,8/2/1993 0:00,8,2,1993,8,2,1993,5466,39.36666667,-119.7783333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,dd8b70b6-77b3-4870-a66b-68670865f351,Washoe,USNVSFC,260647.353,4361149.736,NO,,
336,336,420,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,,,,,Human,13,2,,B,2,11/20/1993 0:00,11,20,1993,11,20,1993,6286,39.63333333,-120.065,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Northern California District,13229d0c-5ea9-4c32-bf37-96ede3a311ec,Sierra,USNVSFC,236954.9286,4391552.338,NO,,
352,352,436,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,,,,,Natural,5,20,,C,3,9/3/1993 0:00,9,3,1993,9,3,1993,6654,38.26666667,-118.6166667,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,97457c74-e23a-4233-9d3f-b8dec0e5111f,Mineral,USNVSFC,358572.0877,4236638.818,NO,,
430,430,528,FS,CA,CAPNF,Plumas National Forest,,,CRYSTAL,,Human,5,80,,C,3,7/4/1993 0:00,7,4,1993,7,4,1993,7257,39.93,-120.1216667,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Northern California District,da6b3d42-3f66-459a-bf44-a890818a6b9a,Plumas,USCAPNFC,233240.0887,4424654.807,NO,,
